episode,agent_type,current_model_id,current_model_name,true_end_policy,switch_point,model_correct,him_triggered,log_lik_per_step,episode_reward,reward_100ep_mean
0,him_her,0,evasive,territorial,23,0,0,-5.799205303192139,0.0,0.0
1,him_her,0,evasive,territorial,32,0,0,-6.062347412109375,0.0,0.0
2,him_her,0,evasive,territorial,17,0,0,-6.890290260314941,0.0,0.0
3,him_her,0,evasive,territorial,31,0,0,-3.0027101039886475,0.0,0.0
4,him_her,0,evasive,territorial,16,0,0,-4.898488998413086,0.0,0.0
5,him_her,0,evasive,territorial,29,0,0,-2.2429988384246826,1.0,0.16666666666666666
6,him_her,0,evasive,territorial,32,0,0,-6.048289775848389,0.0,0.14285714285714285
7,him_her,0,evasive,territorial,18,0,0,-1.7216686010360718,1.0,0.25
8,him_her,0,evasive,territorial,18,0,0,-4.159449577331543,0.0,0.2222222222222222
9,him_her,0,evasive,territorial,18,0,0,-4.807847023010254,0.0,0.2
10,him_her,0,evasive,territorial,20,0,0,-4.761586666107178,0.0,0.18181818181818182
11,him_her,0,evasive,territorial,17,0,0,-6.014141082763672,0.0,0.16666666666666666
12,him_her,0,evasive,territorial,30,0,0,-2.8562076091766357,1.0,0.23076923076923078
13,him_her,0,evasive,territorial,22,0,0,-3.3971667289733887,1.0,0.2857142857142857
14,him_her,0,evasive,territorial,20,0,0,-5.753096103668213,1.0,0.3333333333333333
15,him_her,0,evasive,evasive,30,1,0,-2.731147289276123,1.0,0.375
16,him_her,0,evasive,evasive,20,1,0,-7.735738277435303,1.0,0.4117647058823529
17,him_her,0,evasive,evasive,30,1,0,-1.5010775327682495,1.0,0.4444444444444444
18,him_her,0,evasive,territorial,32,0,0,-5.502389907836914,0.0,0.42105263157894735
19,him_her,0,evasive,territorial,31,0,0,-3.826338052749634,0.0,0.4
